"TOA5","Cattle_Experiment_Eagle_TGA310","GRANITE9","1218","GRANITE9.4.0.0","CPU:TraceFlux_GR_OPEC_Eagle_0917_2026.CRB","11671","CSFlux"
"TIMESTAMP","RECORD","FCH4_mass","FCH4_QC","nmbr_smp_FCH4","FC_mass","FC_QC","nmbr_smp_FC","LE","LE_QC","nmbr_smp_LE","ET","ET_QC","nmbr_smp_ET","H","H_QC","nmbr_smp_H","Bowen_ratio","TAU","TAU_QC","USTAR","TSTAR","TKE","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","e_amb","e_sat_amb","TA_1_1_2","RH_1_1_2","RH_SIGMA_1_1_2","e_fast","e_sat_fast","TA_1_1_3","RH_1_1_3","T_DP_1_1_3","e_probe","e_sat_probe","H2O_density_probe","PA","VPD","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","T_SONIC","T_SONIC_SIGMA","sonic_azimuth","WS","WS_RSLT","WS_MAX","WD_SONIC","WD_SIGMA","WD","CH4_density","CH4_density_SIGMA","CH4_mixratio","CH4_mixratio_SIGMA","CO2_density","CO2_density_SIGMA","H2O_density","H2O_density_SIGMA","CO2_sig_strgth_Min","H2O_sig_strgth_Min","sun_azimuth","sun_elevation","hour_angle","sun_declination","air_mass_coeff","daytime","TS_1_1_1","SWC_1_1_1","cs65x_ec_1_1_1","FETCH_MAX","FETCH_90","FETCH_80","FETCH_70","FETCH_FILTER","FETCH_INTRST","FP_FETCH_INTRST","FP_EQUATION"
"TS","RN","ugCH4 m-2 s-1","grade","count","mgCO2 m-2 s-1","grade","count","W m-2","grade","count","mm hour-1","grade","count","W m-2","grade","count","fraction","kg m-1 s-2","grade","m s-1","deg C","m2 s-2","deg C","%","deg C","kPa","kPa","deg C","%","%","kPa","kPa","deg C","%","deg C","kPa","kPa","gH2O m-3","kPa","hPa","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","deg C","deg C","decimal degrees","m s-1","m s-1","m s-1","decimal degrees","decimal degrees","decimal degrees","ugCH4 m-3","ugCH4 m-3","nmolCH4 mol-1","nmolCH4 mol-1","mgCO2 m-3","mgCO2 m-3","gH2O m-3","gH2O m-3","fraction","fraction","decimal degrees","decimal degrees","decimal degrees","decimal degrees","adimensional","fraction","deg C","%","dS m-1","m","m","m","m","adimensional","m","%","authors"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Min","Avg","Avg","Avg","Avg","Avg","Tot","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-09-22 10:00:00",0,-0.3105652,7,31042,0.0616741,7,31090,41.57174,5,31090,0.06066822,5,31090,6.64528,5,31090,0.1598509,-0.005654749,4,0.07352624,-0.08508847,0.1588173,14.48858,98.73091,14.69443,1.678524,1.656182,14.44753,101.6158,2.268484,1.678311,1.651632,14.21962,82.47877,11.28011,1.342278,1.627461,10.1206,86.98772,-0.02667832,0.6665345,0.3751025,0,0.4045247,-7.450581E-09,0.1152931,16.21055,0.1694267,0,0.7914716,0.6652737,1.752344,305.6226,32.34398,54.37744,1915.166,75.08691,1978.129,94.3073,606.9288,15.79312,12.64422,0.3025231,0.8348104,0.8354654,130.1305,35.95804,-38.25423,0.1215448,1.460367,0.8533334,14.87542,6.890176,0.02453047,6.571357,82.72357,44.45575,29.83164,1,214.413,96.78056,"Kljun_et_al"
"2026-09-22 10:30:00",1,0.77002,6,36000,0.0737134,8,36000,86.55573,3,36000,0.1263829,3,36000,37.42801,3,36000,0.4324151,-0.01166863,4,0.105716,-0.3340642,0.2180665,15.25005,92.61176,14.04917,1.610813,1.73983,14.99865,94.12105,5.337383,1.609452,1.712188,14.85627,81.60445,11.73992,1.383856,1.696081,10.41092,86.96971,0.1027358,0.8958322,0.4146616,0,0.4840397,0,0.1729001,16.69236,0.5138323,0,1.020375,0.8945118,2.577076,302.194,28.44813,57.806,1910.987,66.32037,2066.053,64.49485,634.4857,23.0664,12.10247,0.5272924,0.8780288,0.878351,137.585,39.68787,-31.28957,0.113988,1.342961,1,15.21307,6.985997,0.024818,6.142631,77.32655,41.55539,27.88537,1,214.413,97.03485,"Kljun_et_al"
"2026-09-22 11:00:00",2,-1.19593,7,36000,-0.2055778,7,36000,214.9717,7,36000,0.3144869,7,36000,141.0757,7,36000,0.6562521,-0.03610634,7,0.1865735,-0.7187536,0.4337706,17.98286,71.84338,12.79296,1.484534,2.071504,16.98607,76.1301,3.248498,1.47961,1.945641,16.75816,75.83313,12.46771,1.452044,1.916533,10.85202,86.94585,0.466031,0.3653246,0.5512204,0,0.7124933,-2.328306E-10,0.2367501,18.55354,0.9331312,0,0.8838391,0.3653027,2.690632,199.856,62.04232,160.144,1739.095,58.081,2014.857,44.58805,658.8571,5.691984,11.04864,0.5532535,0.9593243,0.9574316,146.4841,43.12048,-23.78733,0.1060485,1.254284,1,15.81753,7.021892,0.02514433,1.419394,17.86805,9.602315,6.443548,1,214.413,99.49439,"Kljun_et_al"
"2026-09-22 11:30:00",3,-0.364974,9,36000,-0.2578776,9,36000,157.3477,9,36000,0.230426,9,36000,99.48487,9,36000,0.6322613,-0.02180102,9,0.1452537,-0.6536366,0.6064317,18.65417,67.50675,12.50592,1.456994,2.158385,18.06345,69.86458,2.211062,1.454195,2.081848,17.9287,71.73904,12.75414,1.479475,2.062356,11.01289,86.92622,0.627653,1.524746,0.7511349,0,0.7666665,-3.72529E-09,0.2467429,19.60985,0.8286474,0,1.705142,1.524358,4.734976,186.2304,26.37452,173.7696,1651.705,34.37704,1938.575,21.96338,647.1637,5.50468,10.81861,0.5609014,0.9884542,0.990186,156.3093,45.79005,-16.28582,0.09785649,1.195764,1,17.21754,7.134176,0.02589767,7.609194,95.78841,51.47681,34.54306,1,214.413,96.15176,"Kljun_et_al"
"2026-09-22 12:00:00",4,0.03097201,9,36000,-0.1312832,9,36000,165.8151,9,36000,0.2429338,9,36000,107.0731,9,36000,0.6457379,-0.05979045,9,0.2407825,-0.4251325,0.818294,18.78834,68.20078,12.78736,1.483978,2.176766,18.52462,69.21758,2.219218,1.48281,2.143384,18.28304,71.7387,13.09392,1.51268,2.108849,11.2464,86.90649,0.6605741,2.280638,0.8824197,0,0.8814029,-7.450581E-09,0.284697,20.10456,0.9007114,0,2.434288,2.278363,6.132129,174.4449,20.50011,185.5551,1674.322,28.24055,1956.148,12.20656,656.3099,6.928654,11.01401,0.5456219,0.9935932,0.995824,166.9382,47.54548,-8.784225,0.08963012,1.161373,1,18.92446,7.27408,0.02690367,6.866576,86.43995,46.45294,31.17183,1,214.413,96.60356,"Kljun_et_al"
"2026-09-22 12:30:00",5,-0.06314886,9,36000,-0.2266186,9,36000,165.1865,9,36000,0.2421644,9,36000,121.9658,9,36000,0.7383522,-0.07240036,9,0.2652885,-0.4408184,0.875872,19.39048,62.47675,12.02355,1.411194,2.260493,19.17499,63.21648,1.918909,1.410322,2.232546,18.97214,68.6884,13.08959,1.512204,2.202092,11.21624,86.85695,0.822224,2.367589,0.7785835,0,1.03224,7.450581E-09,0.2829016,20.68138,0.9415301,0,2.565075,2.365131,5.848092,177.501,22.61464,182.499,1646.194,25.4882,1962.946,9.019481,663.5175,5.570465,10.45223,0.4946637,0.9963747,0.9980941,178.0765,48.26725,-1.281617,0.08176125,1.147558,1,20.55304,7.413488,0.02785933,6.470052,81.4483,43.77041,29.37175,1,214.413,96.84099,"Kljun_et_al"
"2026-09-22 13:00:00",6,-0.03478843,7,36000,-0.1636493,7,36000,98.23399,7,36000,0.1440281,7,36000,50.4122,7,36000,0.5131849,-0.03978597,7,0.1967254,-0.2458996,0.6642844,19.50562,61.20564,11.8306,1.392961,2.276243,19.29393,61.93957,1.373222,1.392035,2.247415,19.22263,67.5968,13.0846,1.511696,2.236388,11.20294,86.82703,0.8553793,2.208625,0.7527384,0,0.8387704,1.490116E-08,0.241698,20.78168,0.6161555,0,2.356992,2.206779,5.998022,166.0306,20.44842,193.9694,1634.802,21.44969,1958.415,7.166022,652.9834,3.691082,10.31304,0.4122115,0.9925508,0.9971255,189.2896,47.89967,6.219901,0.07357121,1.153796,1,22.09954,7.546983,0.028878,8.139131,102.4595,55.06187,36.94878,1,214.413,95.82437,"Kljun_et_al"
"2026-09-22 13:30:00",7,0.02976453,7,36000,-0.1681182,7,36000,174.8154,7,36000,0.2565406,7,36000,125.5737,7,36000,0.7183215,-0.05879294,7,0.2395775,-0.5048187,1.366065,20.56435,56.94972,11.72598,1.383865,2.430489,20.22763,58.0378,1.641783,1.382434,2.382994,20.10698,65.68417,13.48508,1.551755,2.362785,11.46511,86.78495,1.000559,1.936223,0.8910917,0,1.363939,-7.450581E-09,0.2788447,21.71058,0.9079024,0,2.360873,1.934495,5.623171,165.2688,34.42281,194.7312,1610.921,25.87942,1941.19,9.235955,645.2824,4.856841,10.20877,0.5031609,0.9230851,0.9469857,200.1252,46.47134,13.72144,0.06533155,1.180228,1,22.99844,7.633161,0.02960233,5.858808,73.75365,39.6353,26.59692,1,214.413,97.20132,"Kljun_et_al"
